ID,Left eye tracking error degrees,Right eye tracking error degrees,Age years,Inter pupillary distance mm,Gender,Eye colour,Skin tone,Ethnic background,Makeup,Dominant eye,Eyewear type,Eyewear lens type,Eyewear frame type,Eyewear frame thickness,Eyewear lens height,Eyewear coating anti-reflective,Eyewear coating anti-scratch,Eyewear coating anti-fog,Eyewear coating anti-UV,Eyewear coating anti-smudge,Eyewear coating blue-filter
ID0626,0.5861235,1.0348935,44,57,Female,Blue,light,Europe,light eye makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0627,0.6465595,0.7020715,20,71,Male,brown,medium,Horn & Sub-Saharan Africa.,No makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0629,1.38682,1.095665,41,68,male,blue,light,Europe,no makeup,left,Eyeglasses,Single-vision,Full,Medium,High,,Yes,,,,
ID0630,1.51864,0.5779635,47,63,male,blue,light,Europe,no makeup,right,Eyeglasses,Single-vision,Full,Narrow,Low,,Yes,,,,
ID0631,0.5569395,0.4770875,47,63.5,female,blue,light,Europe,no makeup,right,Contacts,Contacts,Contacts,Contacts,Contacts,No,No,No,No,No,No
ID0632,3.453305,2.06181,39,62.5,female,brown,dark,Horn & Sub-Saharan Africa,no makeup,right,Eyeglasses,Single-vision,Full,Thick,Normal,,Yes,,,,
ID0633,1.604495,0.576698,26,63.5,male,brown,light,Middle-East,No makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0637,2.052885,1.60456,27,66,male,brown,medium,South Asia,no makeup,right,Eyeglasses,Single-vision,Full,Medium,Normal,Yes,,,,,Yes
ID0638,0.7763295,0.78242,41,62.5,female,blue,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0639,0.99208,2.08852,42,63,Male,Dark brown,medium,South Asia,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0640,0.4766035,0.959698,21,62.5,male,brown,dark,Horn & Sub-Saharan Africa,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0642,1.2237,1.739415,24,68.5,male,brown,dark,Horn & Sub-Saharan Africa,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0643,1.2534,1.521025,31,68,Male,Blue,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0644,0.884323,1.397165,37,61,female,green,light,Europe,light eye makeup,left,Eyeglasses,Single-vision,Full,Medium,Normal,Yes,Yes,,,,
ID0645,1.127715,1.100545,53,64.5,Male,Brown,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0646,1.310365,1.09195,36,65,male,green,light,Europe,no makeup,right,Contacts,Contacts,Contacts,Contacts,Contacts,,,,,,
ID0648,1.41356,1.16926,20,65,male,blue,light,Europe,no makeup,right,Contacts,Contacts,Contacts,Contacts,Contacts,,,,,,
ID0649,1.0757605,1.353825,30,63,male,black,medium,South Asia,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0650,0.498046,0.438501,38,66.5,male,brown,light,East Asia,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0651,1.63334,0.937801,18,59.5,Female,Green,light,Europe,eyelash extensions,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
